epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,362.123,1.39595,0.82642,0.9829,0.53699,0.000236608,0.000236608,0.000236608
2,724.509,0.62331,0.84438,0.98076,0.48664,0.000458946,0.000458946,0.000458946
3,1092.05,0.55418,0.86875,0.98803,0.38691,0.000665576,0.000665576,0.000665576
4,1455.31,0.52966,0.86875,0.98675,0.40524,0.000643314,0.000643314,0.000643314
5,1825.45,0.46487,0.8649,0.99102,0.408,0.000619752,0.000619752,0.000619752
6,2209.21,0.43573,0.89354,0.99273,0.31362,0.00059619,0.00059619,0.00059619
7,3185.01,0.39703,0.88927,0.98931,0.32591,0.000572628,0.000572628,0.000572628
8,3549.7,0.38238,0.89782,0.99401,0.31697,0.000549066,0.000549066,0.000549066
9,3913.58,0.36251,0.91321,0.99059,0.28461,0.000525504,0.000525504,0.000525504
10,4295.51,0.34685,0.90936,0.99401,0.29252,0.000501942,0.000501942,0.000501942
11,4735.33,0.33096,0.91749,0.99487,0.25541,0.00047838,0.00047838,0.00047838
12,5115.85,0.31558,0.91962,0.99487,0.25344,0.000454818,0.000454818,0.000454818
13,5511.14,0.30486,0.92091,0.99145,0.25576,0.000431256,0.000431256,0.000431256
14,5911.45,0.27822,0.92262,0.99658,0.24255,0.000407694,0.000407694,0.000407694
15,6299.53,0.26787,0.91834,0.9953,0.24663,0.000384132,0.000384132,0.000384132
16,6697.38,0.26251,0.93373,0.9953,0.22775,0.00036057,0.00036057,0.00036057
17,7094.78,0.25222,0.92903,0.99444,0.21886,0.000337008,0.000337008,0.000337008
18,7473.47,0.23946,0.93844,0.99487,0.20449,0.000313446,0.000313446,0.000313446
19,7875.1,0.22141,0.93758,0.99572,0.20725,0.000289884,0.000289884,0.000289884
20,8268.73,0.22715,0.93202,0.99615,0.20601,0.000266322,0.000266322,0.000266322
21,8801.62,0.21334,0.93844,0.99572,0.18691,0.00024276,0.00024276,0.00024276
22,9164.7,0.20101,0.9363,0.99786,0.19674,0.000219198,0.000219198,0.000219198
23,9545.33,0.19642,0.94186,0.99658,0.19534,0.000195636,0.000195636,0.000195636
24,9929.93,0.18182,0.94271,0.99658,0.18826,0.000172074,0.000172074,0.000172074
25,10341.4,0.18072,0.9457,0.99444,0.18214,0.000148512,0.000148512,0.000148512
26,10716.2,0.16847,0.94784,0.99572,0.17978,0.00012495,0.00012495,0.00012495
27,11105.7,0.16313,0.94613,0.99572,0.18085,0.000101388,0.000101388,0.000101388
28,11470.9,0.15871,0.9457,0.99701,0.18334,7.7826e-05,7.7826e-05,7.7826e-05
29,11842.8,0.1489,0.94827,0.99615,0.17263,5.4264e-05,5.4264e-05,5.4264e-05
30,12219.8,0.13988,0.94784,0.99658,0.17224,3.0702e-05,3.0702e-05,3.0702e-05
